1;47 17 22 9 3 48 42 31 30 39 24 2 14 50 34 4 25 18 33 43 16 41 32 ;26 september 2024;2 21;airsoft
2;31 9 5 20 1 44 41 37 49 40 4 18 2 35 10 33 25 46 36 21 11 30 43 48 39 29 19 ;18 january 2025;13 53;math
3;32 44 41 45 8 39 22 9 27 12 28 42 36 21 5 23 18 2 24 37 13 47 46 29 10 20 33 48 26 17 ;18 december 2021;9 56;computational logic
4;25 22 36 32 28 37 5 39 43 24 41 2 26 33 44 45 29 21 13 49 38 35 ;18 march 2022;6 49;fundamentals of programing
5;45 35 13 32 50 49 40 25 5 12 46 36 30 41 27 17 23 6 8 19 21 44 43 9 47 10 1 11 22 ;6 october 2017;18 14;party hard
6;50 31 47 ;23 july 2022;4 58;error debugging
7;11 10 9 27 21 49 50 44 12 35 28 41 6 31 1 37 17 46 18 32 36 19 20 24 38 25 33 16 ;26 november 2020;6 32;painting
8;37 39 34 10 42 30 32 47 16 35 18 20 26 19 5 46 29 ;11 january 2017;0 32;basketball
9;45 29 25 3 35 15 44 41 33 19 7 23 38 6 5 12 37 16 27 32 4 49 26 48 30 39 28 43 22 9 36 21 46 17 ;12 august 2019;9 53;error debugging
10;12 50 23 26 ;18 february 2022;15 49;airsoft
11;31 5 46 22 50 1 23 41 33 25 12 15 ;12 june 2025;6 26;assembly
12;6 ;31 december 2019;3 18;fundamentals of programing
13;48 9 19 37 ;28 august 2022;17 38;skateing
14;7 39 14 34 21 47 35 31 48 10 23 41 37 49 4 11 50 13 ;16 july 2025;10 25;computational logic
15;17 45 30 22 35 49 21 43 15 48 25 12 47 38 4 24 39 6 2 11 19 8 ;5 december 2020;18 20;twerk
16;31 32 1 38 21 47 12 18 23 34 27 13 49 10 15 25 17 4 11 2 28 40 5 3 48 33 41 ;8 march 2022;19 14;painting
17;35 47 16 5 14 21 38 7 20 44 40 37 42 29 39 28 ;8 august 2025;7 18;cycling
18;39 8 14 37 6 50 44 13 9 18 17 43 34 22 27 32 12 40 2 ;13 july 2024;16 47;basketball
19;36 14 16 15 28 32 49 3 29 43 21 34 41 47 50 12 30 22 38 31 ;1 september 2021;16 35;cycling
20;40 15 39 28 7 49 44 27 11 43 41 47 35 36 45 6 33 1 37 42 48 34 25 32 14 13 10 38 24 12 29 9 ;19 october 2025;19 23;assembly
21;42 26 7 15 14 16 41 23 6 38 31 49 44 19 4 48 17 2 33 5 10 35 50 24 12 27 29 45 11 ;25 october 2020;6 11;voleyball
